"id","status_group"
"25572","non functional"
"61445","functional needs repair"
"32190","functional"
"39189","functional"
"14853","non functional"
"52207","functional"
"48035","functional needs repair"
"73122","functional needs repair"
"16352","functional"
"42721","functional needs repair"
"15116","functional"
"7837","functional"
"56907","functional"
"46382","functional"
"64521","non functional"
"67362","functional needs repair"
"61861","functional needs repair"
"72139","functional"
"3398","functional needs repair"
"62911","functional needs repair"
"48152","functional needs repair"
"48001","functional"
"64118","functional needs repair"
"65793","functional"
"61557","functional"
"32352","non functional"
"1830","functional"
"50553","functional needs repair"
"51961","non functional"
"38481","functional"
"48371","functional needs repair"
"56540","functional needs repair"
"18142","functional needs repair"
"72934","non functional"
"39300","functional needs repair"
"40115","non functional"
"3793","functional needs repair"
"59318","functional needs repair"
"68070","functional"
"67527","non functional"
"34898","functional needs repair"
"26592","functional"
"67682","functional"
"52394","functional"
"32218","functional"
"69045","functional"
"12808","functional"
"49250","functional"
"64126","functional"
"64903","functional"
"35165","functional"
"9543","non functional"
"64635","functional needs repair"
"47929","functional"
"28329","functional"
"67954","functional needs repair"
"16575","non functional"
"16612","non functional"
"27003","non functional"
"73324","non functional"
"7043","non functional"
"22174","non functional"
"19450","functional needs repair"
"35825","functional needs repair"
"9854","non functional"
"23254","non functional"
"72170","non functional"
"61999","functional"
"70354","non functional"
"6877","non functional"
"47323","non functional"
"48624","non functional"
"6148","functional"
"59698","non functional"
"67268","non functional"
"59174","non functional"
"68916","functional"
"28358","non functional"
"57453","functional"
"71952","non functional"
"1761","functional needs repair"
"15234","functional needs repair"
"60021","functional"
"22567","non functional"
"17695","functional"
"19872","functional needs repair"
"22828","non functional"
"34896","non functional"
"35570","functional"
"41325","functional"
"8831","non functional"
"5345","functional"
"19379","non functional"
"5514","functional"
"61654","functional needs repair"
"40482","non functional"
"43123","functional"
"40492","functional needs repair"
"68733","functional"
"3952","functional"
"70288","non functional"
"30085","functional"
"65837","non functional"
"34752","functional"
"2465","non functional"
"11466","functional needs repair"
"22313","functional needs repair"
"30179","non functional"
"23505","functional needs repair"
"48424","functional"
"11150","functional needs repair"
"70368","non functional"
"26935","non functional"
"5919","functional"
"2134","non functional"
"16652","functional needs repair"
"59302","functional"
"24210","non functional"
"6211","non functional"
"19743","functional needs repair"
"10760","functional"
"48104","functional needs repair"
"50171","non functional"
"63137","functional"
"38301","non functional"
"10948","functional"
"33232","functional"
"61415","functional"
"69131","functional"
"73555","functional"
"46610","functional needs repair"
"20922","functional"
"55743","functional needs repair"
"19341","functional"
"9588","functional needs repair"
"3293","functional needs repair"
"55490","functional"
"67678","non functional"
"36119","non functional"
"62775","functional needs repair"
"68162","non functional"
"66128","non functional"
"12036","functional"
"15739","functional needs repair"
"57048","non functional"
"15825","non functional"
"45590","non functional"
"18055","functional needs repair"
"34073","non functional"
"14860","non functional"
"53713","functional"
"69327","non functional"
"60169","functional needs repair"
"26798","functional needs repair"
"37122","functional needs repair"
"45156","functional"
"22874","functional"
"58774","non functional"
"40092","non functional"
"17487","functional"
"35886","functional needs repair"
"49892","functional"
"66338","functional needs repair"
"35481","non functional"
"4135","functional"
"54191","functional"
"31349","functional"
"72271","functional needs repair"
"48863","functional"
"13758","functional needs repair"
"33443","functional needs repair"
"12003","functional needs repair"
"10845","functional"
"47","non functional"
"70492","functional"
"11346","non functional"
"20126","functional needs repair"
"51000","non functional"
"64505","functional"
"58329","functional needs repair"
"6311","functional"
"22286","functional needs repair"
"35013","functional needs repair"
"6274","functional"
"30904","functional needs repair"
"46606","non functional"
"18461","functional needs repair"
"15256","functional needs repair"
"625","functional"
"42122","functional needs repair"
"18277","functional needs repair"
"68501","functional needs repair"
"8816","functional needs repair"
"62879","functional"
"18554","non functional"
"27712","functional needs repair"
"46935","functional"
"57804","non functional"
"57711","functional"
"5516","non functional"
"8305","functional"
"57410","functional needs repair"
"51412","non functional"
"25863","functional"
"35994","functional needs repair"
"55279","functional needs repair"
"74102","functional"
"38277","functional"
"1998","non functional"
"52056","non functional"
"63679","functional needs repair"
"71762","non functional"
"71432","functional"
"45592","functional"
"13663","non functional"
"62227","non functional"
"3730","functional needs repair"
"2451","functional"
"46418","non functional"
"45996","non functional"
"60911","non functional"
"46089","non functional"
"65579","non functional"
"40407","non functional"
"66663","functional"
"26597","functional needs repair"
"50540","functional"
"58133","non functional"
"1493","non functional"
"31503","non functional"
"17910","functional needs repair"
"19466","functional"
"38120","non functional"
"66553","functional"
"31696","functional"
"51318","functional"
"33584","functional needs repair"
"48678","functional"
"36112","non functional"
"6294","non functional"
"40612","non functional"
"62793","functional"
"58090","functional needs repair"
"2532","non functional"
"38865","functional needs repair"
"35462","non functional"
"51709","functional needs repair"
"40624","non functional"
"41745","non functional"
"42315","functional"
"38952","non functional"
"45540","non functional"
"73833","functional"
"27771","functional needs repair"
"9336","functional"
"12545","functional"
"54811","non functional"
"48326","functional"
"31787","functional needs repair"
"61745","non functional"
"42091","functional"
"43727","functional needs repair"
"46917","functional"
"26718","functional needs repair"
"3138","functional needs repair"
"72932","functional"
"25707","non functional"
"68580","non functional"
"25064","functional"
"7624","non functional"
"3830","non functional"
"13458","functional"
"57377","functional needs repair"
"37294","functional"
"39561","functional"
"23237","functional"
"72484","functional"
"56490","functional"
"13706","non functional"
"43035","functional needs repair"
"14084","functional needs repair"
"55875","functional"
"17299","functional needs repair"
"1793","functional"
"70943","functional"
"65720","functional needs repair"
"49165","functional"
"18879","functional needs repair"
"3574","non functional"
"56735","functional"
"45481","functional needs repair"
"51772","non functional"
"74095","functional"
"54000","functional needs repair"
"34834","functional"
"50175","functional needs repair"
"35733","non functional"
"6808","non functional"
"27311","functional"
"73303","non functional"
"70335","non functional"
"2691","functional"
"12582","non functional"
"49536","non functional"
"23715","non functional"
"45445","functional"
"52609","functional needs repair"
"35087","functional"
"42767","non functional"
"24373","functional needs repair"
"32895","non functional"
"9328","non functional"
"23275","functional"
"20054","non functional"
"8378","non functional"
"47432","non functional"
"49863","functional"
"57828","functional needs repair"
"31169","functional needs repair"
"38382","functional needs repair"
"31205","functional needs repair"
"23528","functional"
"26507","non functional"
"67091","functional needs repair"
"47734","functional"
"927","non functional"
"48521","non functional"
"16963","functional"
"48233","functional"
"58989","functional needs repair"
"2399","functional needs repair"
"23530","functional"
"46271","non functional"
"71726","functional needs repair"
"23526","functional needs repair"
"49861","functional"
"22619","non functional"
"41264","non functional"
"20623","non functional"
"35694","functional"
"68210","functional needs repair"
"13446","functional"
"11321","functional needs repair"
"56312","non functional"
"19533","functional needs repair"
"7275","functional needs repair"
"48614","functional"
"65873","functional"
"9008","functional"
"36817","functional"
"25767","functional"
"38460","functional needs repair"
"16756","functional needs repair"
"13310","functional"
"36514","functional"
"57548","functional"
"2809","functional"
"70632","functional"
"17260","non functional"
"27950","functional"
"40629","non functional"
"64155","functional"
"50640","functional needs repair"
"67355","functional"
"32132","non functional"
"70868","functional needs repair"
"45823","non functional"
"19985","functional"
"61834","non functional"
"54171","functional"
"62763","functional needs repair"
"42408","functional"
"13151","functional"
"28311","functional"
"57775","functional"
"37603","non functional"
"56357","non functional"
"37845","non functional"
"57177","functional"
"12821","functional"
"8193","non functional"
"49031","functional needs repair"
"14011","functional"
"33708","functional"
"68898","non functional"
"37198","functional needs repair"
"11151","functional"
"22264","functional"
"49694","functional needs repair"
"47318","functional needs repair"
"46108","non functional"
"28297","functional"
"36340","functional"
"26987","non functional"
"5766","non functional"
"25979","non functional"
"73021","functional"
"11908","functional needs repair"
"47496","functional"
"61777","functional"
"47591","functional needs repair"
"8968","functional needs repair"
"45656","functional"
"39630","functional"
"2786","non functional"
"958","non functional"
"55843","functional"
"52074","functional"
"23422","functional"
"55802","functional"
"61634","functional"
"1625","functional"
"37398","functional needs repair"
"51011","functional"
"49595","functional"
"22486","non functional"
"22916","non functional"
"45204","non functional"
"74223","functional needs repair"
"35533","functional"
"30595","non functional"
"47319","non functional"
"32555","functional needs repair"
"9520","non functional"
"53253","non functional"
"36436","non functional"
"15036","functional needs repair"
"23175","non functional"
"41998","functional"
"19345","functional needs repair"
"1198","functional needs repair"
"39848","functional"
"39278","functional"
"39844","functional"
"17332","functional"
"51287","functional"
"49514","non functional"
"64288","functional"
"41782","functional needs repair"
"54572","functional"
"68079","functional needs repair"
"68017","non functional"
"66705","functional"
"5274","functional"
"58230","functional needs repair"
"51010","functional"
"46242","non functional"
"1917","functional needs repair"
"9361","functional needs repair"
"33043","functional needs repair"
"56633","non functional"
"57518","non functional"
"51128","functional"
"4388","non functional"
"62267","non functional"
"72473","non functional"
"70957","functional"
"35399","functional"
"33236","functional"
"73183","functional"
"52939","functional"
"66929","non functional"
"54326","functional needs repair"
"16343","functional"
"33013","functional"
"60384","non functional"
"41074","functional needs repair"
"71997","functional"
"35190","non functional"
"3425","functional"
"4335","functional needs repair"
"7399","functional needs repair"
"46431","functional needs repair"
"40845","non functional"
"27347","functional"
"10981","non functional"
"36447","functional needs repair"
"67485","functional needs repair"
"11220","functional needs repair"
"45857","non functional"
"21806","non functional"
"8771","functional needs repair"
"45535","functional needs repair"
"8671","functional needs repair"
"2252","non functional"
"58078","non functional"
"61068","non functional"
"69204","non functional"
"28326","functional needs repair"
"46930","functional needs repair"
"52104","functional"
"31732","functional needs repair"
"21584","non functional"
"17045","functional"
"14404","non functional"
"34699","functional"
"39930","non functional"
"38744","functional"
"4339","functional"
"54735","functional needs repair"
"51916","functional"
"58114","non functional"
"28339","functional needs repair"
"52048","non functional"
"66497","functional needs repair"
"18353","functional"
"16701","functional needs repair"
"59499","functional needs repair"
"66042","non functional"
"43965","functional needs repair"
"48361","non functional"
"70766","non functional"
"9510","non functional"
"28586","non functional"
"28521","non functional"
"18050","non functional"
"73151","non functional"
"45011","functional needs repair"
"64380","functional"
"66896","non functional"
"40184","functional"
"67207","functional"
"70178","functional"
"54063","functional needs repair"
"39252","functional"
"53773","functional"
"47931","functional"
"44168","non functional"
"66540","functional"
"54089","non functional"
"29244","non functional"
"27525","non functional"
"58991","functional needs repair"
"18087","functional needs repair"
"67803","non functional"
"48006","functional needs repair"
"11788","functional"
"16100","functional needs repair"
"16382","functional"
"21208","non functional"
"8637","functional needs repair"
"67008","functional needs repair"
"67914","functional needs repair"
"7041","functional"
"43181","non functional"
"26191","non functional"
"14766","functional"
"49812","functional"
"12705","functional"
"25422","non functional"
"9399","functional needs repair"
"4239","functional"
"49442","functional"
"32","functional needs repair"
"11443","functional needs repair"
"15492","functional"
"63498","functional"
"12708","non functional"
"19483","functional"
"31204","non functional"
"33445","functional needs repair"
"40820","non functional"
"10279","non functional"
"46718","functional needs repair"
"39000","functional needs repair"
"45897","functional"
"62154","functional needs repair"
"50034","functional"
"11853","functional needs repair"
"40426","functional"
"41168","functional needs repair"
"58978","functional needs repair"
"31363","functional needs repair"
"32736","non functional"
"29058","functional"
"23824","non functional"
"61885","non functional"
"59187","non functional"
"73243","functional"
"62915","functional needs repair"
"1784","functional"
"65951","non functional"
"20661","functional needs repair"
"55504","non functional"
"66975","functional"
"72057","functional"
"49331","functional"
"52682","functional"
"37859","functional needs repair"
"10460","functional needs repair"
"12407","non functional"
"69993","functional needs repair"
"13012","functional needs repair"
"70896","functional"
"13264","functional"
"51824","non functional"
"60216","functional"
"57481","non functional"
"3996","non functional"
"24854","functional"
"43420","non functional"
"70468","non functional"
"38305","non functional"
"57179","functional needs repair"
"70388","functional"
"67589","functional"
"69974","non functional"
"8854","functional"
"71663","functional"
"69272","functional"
"49119","non functional"
"15638","functional needs repair"
"9086","functional"
"56422","functional needs repair"
"39106","functional"
"4515","functional needs repair"
"48594","functional"
"63779","functional"
"60740","functional"
"61242","non functional"
"65001","functional"
"2601","non functional"
"52456","non functional"
"21873","non functional"
"25505","functional"
"21890","non functional"
"52336","non functional"
"57756","functional"
"45465","functional"
"4989","functional needs repair"
"51585","functional needs repair"
"50533","non functional"
"54866","functional"
"23793","functional"
"50135","non functional"
"26549","functional"
"66920","functional needs repair"
"35517","functional needs repair"
"390","functional needs repair"
"13645","functional needs repair"
"39327","functional needs repair"
"58900","non functional"
"2100","functional needs repair"
"31521","non functional"
"277","functional"
"33937","functional"
"42545","non functional"
"7614","functional needs repair"
"46861","functional"
"35278","functional"
"71773","functional"
"52392","functional"
"47229","functional needs repair"
"10716","non functional"
"13923","functional needs repair"
"42206","non functional"
"965","functional"
"66646","functional needs repair"
"17301","non functional"
"21533","functional needs repair"
"37797","non functional"
"19241","non functional"
"15296","non functional"
"41472","functional needs repair"
"73859","functional"
"20153","functional"
"71684","functional needs repair"
"8321","functional"
"68979","functional"
"48850","functional needs repair"
"64251","functional"
"3583","functional needs repair"
"33326","non functional"
"8500","functional needs repair"
"67047","functional needs repair"
"24896","functional"
"39527","functional needs repair"
"3089","functional needs repair"
"66477","functional needs repair"
"24107","functional"
"7823","functional"
"32016","functional"
"35048","non functional"
"70580","non functional"
"47503","functional needs repair"
"37357","functional"
"1195","non functional"
"52309","functional"
"19655","functional"
"39455","functional needs repair"
"52757","non functional"
"62729","non functional"
"24324","non functional"
"51298","functional"
"17127","non functional"
"28152","functional"
"14259","non functional"
"47461","functional"
"65878","non functional"
"58913","functional"
"70035","non functional"
"37446","non functional"
"30337","non functional"
"57584","functional"
"67193","functional"
"62103","functional"
"22896","functional"
"5934","non functional"
"61722","functional"
"9299","functional"
"68558","functional needs repair"
"51165","functional"
"8657","functional needs repair"
"54952","functional"
"53160","functional needs repair"
"17393","functional"
"33016","functional needs repair"
"25929","non functional"
"41102","functional"
"11093","non functional"
"52744","functional needs repair"
"23484","functional"
"13139","non functional"
"55439","non functional"
"41539","functional needs repair"
"47692","functional needs repair"
"60165","functional"
"64683","non functional"
"7089","functional needs repair"
"13516","functional needs repair"
"47720","functional"
"22588","non functional"
"28580","non functional"
"9075","functional"
"25066","functional needs repair"
"28284","functional"
"67568","non functional"
"64823","non functional"
"8243","non functional"
"2556","functional"
"58746","functional needs repair"
"18288","functional"
"72822","functional"
"5178","functional"
"66294","functional"
"14451","functional"
"48600","functional"
"27513","functional needs repair"
"36889","functional"
"663","non functional"
"10646","non functional"
"35103","functional"
"50804","functional needs repair"
"29635","functional"
"47604","functional"
"49844","functional needs repair"
"69068","functional"
"43074","functional needs repair"
"71088","functional"
"40470","functional needs repair"
"21920","non functional"
"51415","functional"
"15480","non functional"
"21881","functional"
"7780","functional"
"24908","functional"
"53915","functional"
"54560","functional needs repair"
"15498","functional"
"20446","functional"
"5886","non functional"
"52883","non functional"
"30892","non functional"
"37432","non functional"
"42574","functional"
"61505","non functional"
"44827","non functional"
"5951","functional needs repair"
"48991","functional needs repair"
"22821","functional needs repair"
"46478","functional needs repair"
"19831","non functional"
"49317","functional needs repair"
"18472","non functional"
"58686","functional"
"47419","non functional"
"44921","functional needs repair"
"55024","non functional"
"28971","non functional"
"8108","functional"
"32182","functional needs repair"
"40513","non functional"
"372","non functional"
"49297","functional"
"24407","non functional"
"44874","functional"
"25119","functional"
"3882","functional needs repair"
"73443","functional needs repair"
"56056","functional"
"22035","functional"
"46318","functional"
"20802","functional needs repair"
"41941","non functional"
"12044","functional"
"47262","non functional"
"19337","functional needs repair"
"38688","functional needs repair"
"45341","non functional"
"55661","functional"
"32322","functional needs repair"
"41912","non functional"
"26136","non functional"
"13480","non functional"
"62035","functional needs repair"
"50343","functional needs repair"
"68537","functional needs repair"
"52293","functional"
"17764","functional"
"67862","non functional"
"38933","non functional"
"68514","non functional"
"65335","functional"
"27469","functional"
"31290","functional needs repair"
"72594","functional"
"2854","functional"
"19679","non functional"
"46470","functional"
"9931","non functional"
"39214","functional"
"3982","functional"
"29633","non functional"
"50872","functional"
"31969","functional"
"51280","non functional"
"63438","functional"
"52302","non functional"
"44486","non functional"
"4641","functional"
"47724","functional"
"4393","functional"
"54938","non functional"
"66983","functional needs repair"
"55870","non functional"
"62561","functional needs repair"
"7975","functional"
"9418","non functional"
"4929","functional"
"68311","non functional"
"15225","non functional"
"51854","functional"
"40247","non functional"
"37958","functional needs repair"
"19319","functional needs repair"
"27495","non functional"
"20111","functional"
"33231","functional needs repair"
"44772","functional"
"53237","functional"
"23279","functional needs repair"
"66738","functional needs repair"
"73053","functional"
"31190","functional"
"54820","functional"
"54173","functional"
"40904","non functional"
"43729","functional needs repair"
"63132","functional"
"65274","functional needs repair"
"2012","non functional"
"70647","non functional"
"6067","functional"
"47835","functional needs repair"
"14510","functional"
"34536","functional needs repair"
"50168","non functional"
"65018","functional"
"4960","functional needs repair"
"19291","non functional"
"11480","functional needs repair"
"74179","functional"
"46276","non functional"
"69469","non functional"
"51844","non functional"
"13340","functional"
"34046","non functional"
"72429","non functional"
"60034","functional"
"36173","functional needs repair"
"66575","functional needs repair"
"33778","non functional"
"52807","functional"
"37283","functional"
"53688","functional needs repair"
"54777","non functional"
"10363","non functional"
"42685","non functional"
"29334","functional"
"17320","functional"
"7060","functional"
"3905","non functional"
"14607","functional"
"59091","functional"
"44927","non functional"
"59415","functional needs repair"
"59722","functional"
"49411","non functional"
"40903","functional"
"64786","non functional"
"36207","functional needs repair"
"61178","functional needs repair"
"55377","functional"
"34300","functional"
"29483","functional needs repair"
"58576","non functional"
"37659","non functional"
"63873","functional needs repair"
"55723","functional"
"9950","functional"
"49680","functional needs repair"
"30329","non functional"
"64912","functional"
"21165","non functional"
"42112","functional"
"25108","non functional"
"55021","functional"
"14319","functional"
"23587","functional"
"27217","functional"
"62333","non functional"
"3284","non functional"
"38299","functional needs repair"
"35668","non functional"
"10228","functional"
"67801","non functional"
"63324","functional"
"33451","functional"
"46306","functional needs repair"
"37149","functional"
"29770","non functional"
"14731","functional"
"7963","functional needs repair"
"55945","non functional"
"7645","functional"
"7244","non functional"
"40114","functional"
"37615","functional"
"54151","non functional"
"64712","functional"
"40499","non functional"
"71171","non functional"
"20712","functional"
"20187","non functional"
"12383","functional"
"33364","functional"
"9646","functional needs repair"
"12201","non functional"
"1782","non functional"
"42747","non functional"
"12125","non functional"
"53260","functional"
"55023","functional"
"7865","non functional"
"66269","non functional"
"45049","functional"
"4988","functional"
"17387","non functional"
"41771","functional"
"44806","functional"
"9157","non functional"
"70881","functional"
"59951","functional needs repair"
"47581","non functional"
"14986","functional"
"71499","non functional"
"32928","non functional"
"11934","functional"
"54065","functional"
"25479","functional"
"38302","non functional"
"32973","functional needs repair"
"52140","functional"
"51060","non functional"
"33106","functional needs repair"
"55127","functional needs repair"
"8640","functional"
"43117","functional needs repair"
"9966","non functional"
"11183","non functional"
"72250","functional"
"50586","non functional"
"48093","functional"
"37435","non functional"
"9379","functional needs repair"
"65657","non functional"
"34535","functional"
"26262","functional"
"14458","functional needs repair"
"33972","functional needs repair"
"40238","functional needs repair"
"70610","non functional"
"47960","non functional"
"71481","functional needs repair"
"10946","non functional"
"68239","functional needs repair"
"56314","non functional"
"20772","non functional"
"41027","non functional"
"57639","functional needs repair"
"42841","functional"
"8016","non functional"
"38349","non functional"
"68114","functional"
"53733","functional needs repair"
"53513","functional needs repair"
"50420","non functional"
"31043","functional"
"11436","non functional"
"66544","non functional"
"66297","functional needs repair"
"9975","functional"
"21663","non functional"
"66747","functional needs repair"
"8343","non functional"
"43675","functional needs repair"
"12325","functional"
"27609","functional needs repair"
"70092","functional needs repair"
"4092","non functional"
"60469","functional needs repair"
"15869","functional"
"31689","non functional"
"40197","non functional"
"35039","functional needs repair"
"19866","non functional"
"65864","non functional"
"54111","functional"
"65616","non functional"
"24954","functional"
"55924","non functional"
"48299","functional"
"51679","functional"
"7861","functional needs repair"
"74037","functional needs repair"
"2367","functional needs repair"
"60329","functional"
"16467","non functional"
"36876","functional needs repair"
"42906","functional needs repair"
"58855","non functional"
"48072","non functional"
"34861","non functional"
"38446","functional"
"25076","functional"
"42010","functional needs repair"
"27880","functional"
"49961","functional"
"32989","non functional"
"17483","non functional"
"54815","functional"
"16359","functional needs repair"
"54840","non functional"
"6252","non functional"
"46589","functional needs repair"
"65044","functional"
"52749","functional needs repair"
"31792","non functional"
"72814","non functional"
"19523","non functional"
"32936","functional needs repair"
"28011","functional needs repair"
"49940","functional"
"21296","non functional"
"57692","functional needs repair"
"60900","functional needs repair"
"69726","functional"
"4707","functional needs repair"
"5501","functional needs repair"
"37805","functional needs repair"
"20466","non functional"
"915","functional needs repair"
"15844","functional needs repair"
"60509","functional"
"22552","functional needs repair"
"47386","functional needs repair"
"8521","functional"
"54730","non functional"
"58417","functional needs repair"
"11731","functional needs repair"
"40490","functional needs repair"
"17385","functional needs repair"
"63184","functional"
"45621","functional"
"42679","non functional"
"64602","functional needs repair"
"33317","functional needs repair"
"38658","non functional"
"64299","functional needs repair"
"36030","non functional"
"18940","functional"
"45669","functional"
"19668","functional"
"44209","non functional"
"73269","non functional"
"72767","functional needs repair"
"68471","functional needs repair"
"907","functional needs repair"
"57724","functional"
"19492","functional"
"18247","functional needs repair"
"61793","functional needs repair"
"68182","functional"
"69769","functional"
"1580","functional"
"9327","functional needs repair"
"18330","non functional"
"9250","functional"
"29932","non functional"
"22830","non functional"
"58200","functional"
"30920","functional"
"9138","functional"
"50234","non functional"
"54691","functional"
"16393","functional"
"56549","non functional"
"9832","functional"
"31881","non functional"
"12886","functional"
"58897","non functional"
"830","non functional"
"15950","functional needs repair"
"26265","non functional"
"46220","non functional"
"22347","functional"
"2860","functional"
"19021","functional needs repair"
"3484","functional needs repair"
"30298","functional"
"39782","non functional"
"74005","functional"
"5674","functional"
"9381","non functional"
"3895","non functional"
"1673","functional"
"29551","functional needs repair"
"41475","non functional"
"67870","functional"
"2791","non functional"
"42255","functional"
"67164","non functional"
"12440","functional"
"13193","non functional"
"60880","functional needs repair"
"71008","functional needs repair"
"67514","functional needs repair"
"34910","functional needs repair"
"383","functional needs repair"
"23977","non functional"
"70543","non functional"
"2906","non functional"
"33810","functional"
"10021","non functional"
"46730","functional"
"1663","functional"
"2408","functional needs repair"
"72505","functional"
"65019","functional needs repair"
"42313","non functional"
"340","non functional"
"50285","non functional"
"3409","functional needs repair"
"26378","functional needs repair"
"47552","functional"
"32262","functional"
"58637","functional needs repair"
"34827","functional"
"63294","functional"
"44867","non functional"
"26751","functional"
"66574","functional"
"39354","non functional"
"21479","functional"
"57899","non functional"
"60079","non functional"
"62070","functional needs repair"
"20628","functional"
"11344","functional"
"62122","functional"
"51867","non functional"
"51667","functional needs repair"
"16857","functional needs repair"
"27022","non functional"
"10438","non functional"
"57755","non functional"
"22384","non functional"
"3380","functional"
"41843","non functional"
"35208","functional needs repair"
"37152","non functional"
"47925","non functional"
"43946","functional"
"2932","functional"
"11829","functional"
"59013","non functional"
"48338","functional"
"71276","functional"
"62998","functional"
"6708","non functional"
"9969","functional needs repair"
"5567","functional needs repair"
"61598","non functional"
"20745","functional"
"72485","functional needs repair"
"53890","non functional"
"62984","functional"
"56024","functional needs repair"
"64958","functional"
"36386","functional needs repair"
"12970","functional"
"63672","functional"
"1545","functional"
"68416","non functional"
"53929","functional needs repair"
"59291","non functional"
"20931","functional needs repair"
"18781","non functional"
"15430","functional"
"54042","functional"
"56896","non functional"
"2579","functional"
"65982","functional"
"8486","functional needs repair"
"15871","functional"
"36433","functional needs repair"
"65239","non functional"
"42513","non functional"
"63248","functional"
"2959","functional"
"64833","non functional"
"54346","functional"
"12284","non functional"
"18056","non functional"
"9415","non functional"
"10574","non functional"
"67761","functional needs repair"
"2413","non functional"
"60358","functional needs repair"
"72803","functional"
"71644","functional"
"43929","functional needs repair"
